query_id,answer
199,4406 3844 2646 2865 4257 4361 2696 4387 4234 4531
200,4400 4440 4532 4234 4219 2521 2865 2646 4308 4408
201,4408 2204 3932 2203 3056 4387 4400 4504 2696 2944
202,4219 4308 2646 2943 4389 4440 4257 4361 4384 4285
203,2865 1966 4308 2646 4384 4285 4219 1958 4504 4257
204,1909 4308 4234 1958 3265 2964 4362 4286 4356 4396
205,2943 2866 4361 4234 4331 2646 2865 4219 2696 3088
206,2249 4396 4308 4219 2802 2521 4111 2944 4205 4407
207,4395 4219 4214 2646 4424 3026 2943 4234 4445 4389
208,2521 4257 4387 4504 4219 2865 4308 4234 4408 4285
209,1951 2943 4331 2646 4234 4361 3128 3088 4408 4532
210,4406 4361 2646 4440 4384 2964 4331 1951 4234 4334
211,2865 4257 2646 4219 4308 4406 4361 4389 2521 4440
212,4396 4328 4286 1907 3436 4308 4234 1909 4362 2949
213,4440 2646 4384 4219 4273 4283 4361 1966 4531 3470
214,4395 4219 4214 4424 2646 4384 4308 2696 4389 2865
215,4328 1918 4234 4396 4358 4286 3419 4408 4400 4403
216,4266 4435 4356 2695 4332 2968 2693 2663 4429 2661
217,2698 4366 4308 4460 4214 4451 3478 4220 4354 4433
218,4406 4361 4440 2646 4257 4389 4234 4219 3149 2521
219,1848 1960 4257 4361 4440 4531 4396 4308 3467 2943
220,2220 4440 4371 4243 2663 2894 2279 4375 2696 3254
221,4389 4285 4219 4440 4504 4257 2943 4308 4394 4446
222,4328 4396 1907 4286 1909 4322 4532 4010 1951 2698
223,4257 4219 2943 4308 4361 4440 4389 2646 4384 4285
224,4408 4400 4532 1966 3055 4234 4308 4387 2964 3689
225,2910 4371 2908 4372 4531 2323 3747 4307 4220 4309
226,3777 2217 4243 4015 2156 4371 4372 2908 4220 2911
227,4396 4328 1907 3436 4286 1909 4234 4308 1901 4362
228,2865 4308 1966 3844 4406 2696 4219 4532 4234 4400
229,1958 1966 2646 4389 4308 2865 4440 4219 4400 4384
230,1966 4504 3056 4408 2646 4387 4400 3055 4361 4219
231,4396 4328 4286 3436 4153 4234 4308 4045 1907 4358
232,4387 2865 1966 1958 4308 4234 3689 4408 2646 3055
233,4532 3643 3128 4436 2217 4243 4361 2698 4286 4050
234,4219 4331 4516 4234 4396 1910 4440 4387 2944 4308
235,2865 2646 4219 1966 3567 4308 4509 4387 1958 2521
236,1966 2865 2944 4308 4361 4400 1958 2521 4387 4219
237,4435 3265 4396 4356 1901 1918 2043 4399 1909 1958
238,1918 4328 4286 1909 1901 4396 4234 1958 1907 4308
239,4423 4220 4429 4364 4266 2910 4363 4367 2917 4232
240,4396 4328 1907 4286 1901 3436 1899 1909 4408 4308
241,4396 4328 4234 1909 4286 1907 4243 4433 4308 3419
242,4387 4362 4249 4296 4234 4286 4388 4396 2196 2244
243,3844 4406 4361 4257 4234 4082 3972 4219 3011 4389
244,4321 4436 4320 4532 3128 4308 4366 4218 1951 1958
245,2865 4308 4384 4219 2646 4504 1966 4509 4387 2521
246,2865 4308 1966 4408 4234 4400 4387 4532 2964 4361
247,2646 4257 1966 4509 2865 2037 4219 2521 3567 4361
248,2202 2695 4243 3255 2221 4429 4364 2948 3483 4204
249,2696 4219 1966 3567 4440 4509 3470 4313 3078 4384
250,1951 4320 4321 4436 4308 3128 2232 1901 2911 2698
251,4408 4308 2865 4234 4219 1958 2866 1966 4400 4285
252,3254 2696 4440 4243 3993 2894 2908 2923 2886 4375
253,1909 4396 4308 4328 4234 2196 4286 4329 1899 3419
254,1951 4321 3843 2944 4436 4218 3168 4431 4320 3128
255,4009 1923 2521 2944 3843 1910 1909 1918 3055 2802
256,2865 1966 4308 1958 4219 4387 2521 4408 2646 4409
257,4220 4296 4249 4369 4523 4339 4276 4266 4526 4224
258,4234 4308 2964 4362 2665 4111 3265 4045 4331 4356
259,4308 2865 4219 1966 4384 4400 4532 2964 4387 4234
260,1951 4361 2964 4234 3467 4321 4218 4436 4010 4045
261,2865 4408 4308 4400 1966 4384 4234 4407 3055 3209
262,1951 4408 4361 4234 4308 4532 4286 4396 2698 2962
263,4243 4399 4162 4518 4291 3858 4445 4530 3592 4328
264,4309 4520 4523 4254 4324 2214 3750 4429 4220 4010
265,2865 4384 4308 4387 2646 1966 4285 4257 4504 4219
266,4451 4214 2698 4366 4290 4308 4361 4227 4219 4209
267,1966 4408 4361 4400 4234 4308 1958 2964 2865 4403
268,3265 4308 2964 2196 4234 1909 4328 4396 4356 4433
269,2698 4366 4214 4308 4219 4424 4220 4433 4209 4290
270,2646 4436 1951 4204 4218 4219 4384 4320 4234 4321
271,4328 4396 4286 1907 4234 1909 4308 4408 4386 4513
272,2865 4308 1966 2646 1958 4219 2521 4384 4408 4504
273,1951 4321 3467 4286 4436 4234 4328 4218 4320 4308
274,4396 3265 1909 4435 4308 4433 4356 1901 2196 4328
275,2646 4308 4361 4219 4313 1966 4233 4440 4331 4234
276,2865 2646 4308 4504 1958 4219 4408 4406 1966 2521
277,4451 2698 4301 4214 2891 4235 3483 2405 4008 4350
278,4396 4286 4328 1907 4234 4361 2408 4408 4358 2511
279,4328 4286 1907 4396 4234 3467 3209 2408 3419 1909
280,4408 4327 4253 4358 2661 4009 4259 4300 1923 4396
281,3781 4518 2943 4530 3149 2221 4008 4242 3782 4205
282,4219 2646 4234 4408 4308 4361 4334 2962 4338 4384
283,4328 4435 4400 2245 4396 2889 3863 3853 2196 4356
284,4008 4435 2217 2794 4356 3595 4354 2968 4243 2896
285,4308 4214 2698 4362 2962 2665 4286 2964 4433 1907
286,4328 4396 4286 1907 4308 1909 4361 2924 4234 2964
287,4224 4360 4126 4314 4256 3734 4377 2295 4307 3778
288,4397 2962 3400 4308 4219 4290 4227 1901 2646 4321
289,4331 4234 4408 3055 1960 3689 3843 2944 1910 4361
290,4050 4234 4219 4308 4153 4362 1951 4204 4045 4354
291,2408 4389 2521 4408 2944 4407 4234 1966 4440 4308
292,4234 4308 1966 4219 4400 2865 4409 3844 4361 4384
293,3565 4219 2646 4440 4384 2943 4389 4313 4356 4308
294,4395 4219 4389 4214 2646 4424 4308 1966 4504 2865
295,4400 4308 1966 2865 2964 4234 4384 4219 2831 4408
296,4308 2962 2698 4214 1951 1901 2646 4321 4320 4436
297,4308 4396 1958 4435 2964 3265 4331 1910 4356 4234
298,3844 4406 2696 2865 4234 2894 4308 4257 4400 1966
299,4406 4384 2943 4361 2037 4257 1966 3078 3689 3055
300,4234 4408 4308 1960 4396 4496 2964 4362 4409 3128
301,4219 2521 2646 2865 4308 4234 4440 4361 2943 4257
302,4371 4134 4266 4354 4202 2217 2155 4264 4262 2156
303,4286 4396 4234 4328 1907 1909 3436 4308 1901 3467
304,4219 4408 3015 4456 2646 3467 4308 4322 4384 4234
305,1901 4362 3265 4308 4050 2949 4153 4388 4234 2698
306,4234 4286 2408 4396 4361 1923 4009 4358 4328 4403
307,3784 4354 4307 3993 2918 4519 4453 4239 4134 3051
308,4286 4328 1951 3467 4234 4218 4301 4396 4321 2962
309,2220 4440 4243 3588 2279 4379 2150 4081 2152 4371
310,4308 1901 3128 4360 3088 3743 4361 4314 3055 4286
311,2646 2865 1966 4384 4308 4219 4406 2521 4408 1958
312,4435 3265 4356 4308 1901 4362 4153 4396 4234 2196
313,4362 4234 4153 4308 4204 4045 4050 2949 4433 3088
314,4308 1909 4396 1899 4286 1901 2196 4328 4362 1918
315,1951 4320 4436 4321 4050 4286 4308 4214 3128 4251
316,4387 4400 2964 4502 4408 1966 4234 3088 4361 1958
317,4234 4286 1918 4308 1909 2964 4328 1907 1901 4362
318,4504 4387 2865 4308 4384 2646 4257 1966 4219 4234
319,4234 2964 3743 4360 4308 3265 1909 4010 4331 4153
320,4219 2646 4361 4384 4257 4331 4233 4333 4313 2037
321,4328 4396 1907 4234 4286 3467 1909 4407 2408 3419
322,4387 1909 1960 2831 4408 4400 2962 1907 1918 4361
323,4308 4234 2865 2288 1966 2696 2894 2831 4400 4005
324,2865 1966 4387 1958 2646 2521 4308 2944 4219 4384
325,4400 2865 4408 4234 4219 4308 2964 4504 4384 4285
326,4396 1907 4328 4286 4234 3436 4308 4362 4204 1909
327,2646 4361 4219 2943 4331 2944 4408 2521 4257 4396
328,3051 1923 4358 4197 4406 4408 4009 1910 4331 4396
329,1966 2964 3470 4400 4219 4408 4532 4010 4431 4308
330,1951 4286 4436 4320 4308 4321 4532 3467 4234 4214
331,4440 2646 4219 4384 4313 4373 4202 4350 2220 4371
332,2698 4308 4214 4361 4366 2665 4050 4424 4451 4209
333,4320 1951 4321 4436 3861 2902 2232 4319 4234 4308
334,4308 4214 4366 2698 4219 4209 4361 2964 4234 4451
335,1899 4308 4396 1901 3128 4286 3643 1909 4360 4361
336,3265 4396 4308 4356 4400 4375 4328 1958 3853 3863
337,4440 3149 4361 4331 2944 2646 2943 4308 4389 4334
338,4250 4325 2511 1909 1951 4286 2323 3747 4361 4408
339,1951 4366 4214 2698 4308 4234 4050 4451 4361 4219
340,2928 2953 4375 4438 4445 4437 4292 4299 3582 3853
341,3056 4308 4387 4504 4257 3689 2865 4389 2646 4440
342,4045 4050 4153 4530 4518 4243 4307 4242 4162 4433
343,2521 4408 4219 4257 4389 4440 2865 2646 2831 3844
344,4219 4322 4440 4436 4010 2646 4361 4321 2943 4153
345,4361 4308 4219 4440 4331 4334 4321 2646 4516 1966
346,4445 4291 2157 4371 4266 3009 4400 4234 2203 3011
347,2865 4387 4408 4504 1966 4361 1958 2646 4234 2866
348,4440 4331 4219 4389 1910 4395 4308 4516 4387 2511
349,4361 4257 4389 4219 2646 2943 3565 4440 4394 4331
350,2865 1966 4219 1958 4509 4308 4508 2646 4384 3844
351,1966 4308 4532 4408 4331 4361 4234 4334 4387 2865
352,4308 2964 2698 4214 4234 4400 2665 4366 4209 4445
353,4110 2062 2060 3261 4404 4411 3150 4205 2857 4109
354,4396 4308 4296 1909 1901 1899 4234 4354 4249 4367
355,2865 4397 4219 2962 4308 4384 2646 4440 4257 4395
356,2964 1909 2196 3265 4234 4308 4328 4362 4356 4396
357,4308 4219 4408 4234 4361 4328 4358 4396 2646 4362
358,2646 4406 2964 4010 1958 4308 4361 4322 1966 4362
359,1966 2865 4308 4384 4408 4400 4532 4387 2521 4234
360,4436 4320 4308 4435 4321 4356 4133 4234 2698 4367
361,4269 4363 4454 4424 4395 4523 1909 2665 2698 1918
362,2964 4234 4384 3088 4361 3689 4243 4367 3055 4045
363,2865 1966 1958 4219 3844 4509 4308 2696 4384 2646
364,4328 2924 1909 4286 4396 1907 4308 1918 4234 1901
365,4287 2663 4307 4243 4299 4545 4248 2415 3595 2968
366,4234 1966 4308 2865 4219 3088 4400 2646 2521 4384
367,4313 3470 4384 4240 4440 2696 4219 1966 4371 3078
368,4308 4331 4234 1910 4367 4366 3088 1899 4286 1923
369,4328 4286 4234 4045 2921 4204 1910 4520 4050 1958
370,1951 4234 2646 4045 4010 4322 4362 2698 4361 4133
371,3128 4321 2247 3643 4436 4221 4223 4388 4445 4354
372,1958 1909 3419 4328 4234 3088 4308 1918 4396 4219
373,4424 4234 4133 4331 4435 3265 4309 4046 2196 4153
374,4532 2964 4400 4234 4408 4308 4431 3088 4219 1958
375,1951 4436 4532 4321 3128 4218 4153 3467 4050 4518
376,2865 1966 2646 4308 1958 4219 4384 4406 3844 2521
377,4219 4408 4308 4322 2646 4234 1951 4384 4010 2037
378,3265 2665 4435 4308 1958 4356 2964 4396 4362 4010
379,4440 4389 4257 4408 2865 4361 2894 2886 4308 4375
380,4400 4234 4408 1966 2865 4387 2646 4361 4403 4504
381,4400 1966 2865 4219 4234 4308 4502 2646 4361 4384
382,4286 3209 1909 3419 4234 4328 4408 4396 2511 1923
383,4266 4296 4370 4257 4436 4321 3862 4243 4249 4242
384,4153 4334 4446 4045 4050 4204 4234 4333 4046 4331
385,1951 4436 4321 3128 4319 4218 4317 4360 3467 4320
386,2696 3470 4219 1966 4384 4313 4440 3078 3056 4375
387,4451 4396 2944 3168 3467 3128 4308 3132 4387 4218
388,4361 4331 4389 3565 4219 2943 4408 4308 2646 4440
389,1951 4234 4308 4361 4321 2962 4286 2698 4366 1958
390,4371 2910 4372 4436 4220 4347 4177 1948 4178 4231
391,4234 4361 4286 4408 4358 4045 4396 4436 4433 1954
392,4308 1909 2196 4234 4396 4328 4286 4433 4296 3419
393,4219 4408 4234 4308 2646 1951 4286 4440 4361 3643
394,1951 4321 4436 4308 4435 3467 1901 2948 4320 4356
395,4371 2220 4337 4243 4373 4439 3128 4375 4276 4440
396,4384 4219 3007 4440 4388 4395 4308 4205 3149 2058
397,4308 4361 4387 1951 4321 4408 1958 4234 4331 4436
398,4424 4395 4454 4523 4520 1842 3992 4526 4329 4356
399,2865 4219 4440 2866 1966 4257 2696 4308 4408 4389
400,4395 4219 4389 2646 4424 4214 4440 4276 4207 3026
401,4400 4308 1966 2865 2646 4384 4219 4431 2944 4234
402,2698 4451 4214 4227 4290 4218 4447 4220 4383 4235
403,2696 2865 4313 3844 4308 1966 4406 4387 4384 2866
404,2865 1966 4219 4308 4400 1958 4384 4361 3844 4406
405,4296 4286 4396 4249 4308 4243 4388 1918 4354 4234
406,4387 4308 4234 4408 4400 4219 4532 4361 2865 2521
407,4396 4328 4234 3436 1907 4286 4308 4408 4356 1909
408,2646 4406 2964 1958 4308 4234 4384 1966 4361 4440
409,1909 4396 1901 4354 4286 4308 1918 4243 4296 4366
410,4331 4234 3467 4219 4361 4308 1923 4009 4408 4322
411,4361 4408 4234 4308 4387 4331 4218 2943 4400 4205
412,4219 4395 4214 3026 4389 2646 4440 4424 4301 4350
413,4328 4396 4329 1909 4134 4234 2295 4308 4528 3626
414,2916 2908 4372 4364 4299 2794 3777 2968 4307 2663
415,4366 2964 4502 4408 4045 4234 4400 4503 4409 4050
416,2646 3056 2944 2865 4440 1966 1958 4408 2521 4361
417,2061 4251 3147 2071 2062 4404 4411 4110 3008 2060
418,4328 4219 4234 1909 4286 4396 4251 4308 4361 4045
419,4313 3078 3470 4219 1966 4408 4308 4285 4384 4406
420,4440 4406 1966 3470 4219 4389 4313 4361 4308 4384
421,4308 2865 4234 4532 4400 2866 4408 2964 1966 2521
422,1958 4396 4435 4308 1909 4356 4219 4362 4234 4009
423,4219 2962 4440 4389 2646 4234 2521 4408 4397 4361
424,4308 3844 2646 1966 4361 4406 4384 1958 2964 4234
425,2943 4308 2646 1901 4361 4408 4331 4205 2865 3149
426,4219 2962 4440 4397 4361 4389 4234 4303 2646 4531
427,4436 1951 4286 4308 4328 3861 4234 4321 4396 4356
428,4308 4234 4362 4331 4435 2964 4153 2698 2196 4045
429,1951 3467 4286 4328 4321 4234 4396 3436 1901 1909
430,2865 4308 1966 4504 4387 4384 4234 4219 2646 4400
431,4406 2865 2696 3844 4308 1966 4234 4219 2646 2521
432,4308 1951 4321 4320 4366 4400 1909 4532 3088 4436
433,4408 4361 4234 4321 2521 1909 2646 4308 1951 4328
434,1909 4308 4396 1958 4009 1923 4408 2511 3419 4400
435,2521 3844 4406 4234 1958 3088 4308 4361 2646 3689
436,4408 1960 4308 4234 2964 4396 1909 4400 2831 4387
437,2865 2962 4219 2646 4384 2521 1966 2866 4509 4397
